No.,link
1,https://www.dawn.com/news/1781411/world-leaders-react-to-israeli-siege-of-gaza
2,https://www.dawn.com/news/1780806/uk-sends-ships-spy-planes-to-help-israel
3,https://www.dawn.com/news/amp/1781492
4,https://www.dawn.com/news/amp/1781492
5,https://www.dawn.com/news/1781363
6,https://www.dawn.com/news/1781390
7,https://www.dawn.com/news/1780806/uk-sends-ships-spy-planes-to-help-israel
8,https://www.dawn.com/news/print/1781411
9,https://www.dawn.com/news/1780340/israel-palestine-war-origin-of-conflict-peace-efforts-and-proposed-solutions
10,https://www.dawn.com/news/1780340/israel-palestine-war-origin-of-conflict-peace-efforts-and-proposed-solutions
11,https://www.dawn.com/news/1781363/fm-jilani-takes-hard-line-on-israels-genocide-against-palestinians
12,https://www.dawn.com/news/1781363/fm-jilani-takes-hard-line-on-israels-genocide-against-palestinians
13,https://www.dawn.com/news/1780668/un-experts-say-israels-strikes-on-gaza-amount-to-collective-punishment
14,https://www.dawn.com/news/1780668/un-experts-say-israels-strikes-on-gaza-amount-to-collective-punishment
