No.,link
1,https://www.dawn.com/news/1782110/what-is-israels-endgame-in-gaza-invasion
2,https://www.dawn.com/news/1779807
3,https://www.dawn.com/news/1623705
4,https://www.dawn.com/news/1781573
5,https://www.dawn.com/news/1782007
6,https://www.dawn.com/news/1779824
7,https://www.dawn.com/news/1781747
8,https://www.dawn.com/news/print/1782110
9,https://www.dawn.com/news/1779807/surprise-hamas-attack-met-with-retaliatory-air-strikes-from-israel
10,https://www.dawn.com/news/1779807/surprise-hamas-attack-met-with-retaliatory-air-strikes-from-israel
11,https://www.dawn.com/news/1623705/israel-pounds-gaza-with-air-strikes-palestinian-fatalities-cross-100
12,https://www.dawn.com/news/1623705/israel-pounds-gaza-with-air-strikes-palestinian-fatalities-cross-100
13,https://www.dawn.com/news/1781573/at-least-500-palestinians-killed-following-israeli-air-strike-on-gaza-hospital-on-eve-of-biden-visit
14,https://www.dawn.com/news/1781573/at-least-500-palestinians-killed-following-israeli-air-strike-on-gaza-hospital-on-eve-of-biden-visit
