No.,allowed,link
1,true,https://epaper.dawn.com
2,true,https://www.dawnnews.tv/watch-live
3,true,https://www.dawnnews.tv
4,true,https://images.dawn.com
5,true,https://herald.dawn.com
6,true,https://aurora.dawn.com
7,true,https://cityfm89.com
8,true,https://www.youtube.com/channel/UCkMdI0K-74jAjOmh5J5H97Q
9,true,https://www.dawn.com/advertise
10,true,https://educationexpo.dawn.com
11,true,https://www.dawn.com/events/supplements
12,true,http://classifieds.dawn.com/
13,true,https://obituary.dawn.com
14,true,https://www.dawn.com/
15,true,https://epaper.dawn.com
16,true,//www.dawn.com
17,true,/latest-news
18,true,https://www.dawn.com/trends/gaza-invasion/1
19,true,/pakistan
20,true,/opinion
21,true,/business
22,true,/world
23,true,/entertainment
24,true,/prism
25,true,/sport
26,true,/magazines
27,true,/tech
28,true,/videos
29,true,/popular
30,true,/newspaper
31,true,https://www.dawnrelief.com/
32,true,//www.dawn.com
33,true,/latest-news
34,true,https://www.dawn.com/trends/gaza-invasion/1
35,true,/pakistan
36,true,/opinion
37,true,/business
38,true,/world
39,true,/entertainment
40,true,/prism
41,true,/sport
42,true,/magazines
43,true,/tech
44,true,/videos
45,true,/popular
46,true,/newspaper
47,true,https://www.dawnrelief.com/
48,true,https://www.dawn.com/news/1781742/western-media-and-the-war
49,true,https://www.dawn.com/authors/966/zahid-hussain
50,true,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781742&display=popup&ref=plugin
51,true,https://twitter.com/share?text=Western%20media%20and%20the%20war&url=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781742&counturl=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781742
52,true,WhatsApp://send?text=Western%20media%20and%20the%20war%20-%20https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781742%3Fref%3Dwhatsapp
53,true,https://www.dawn.com/news/print/1781742
54,true,javascript:void(0)
55,true,#comments
56,true,https://www.dawn.com/news/1780518
57,true,https://www.hrw.org/news/2023/10/12/questions-and-answers-israels-use-white-phosphorus-gaza-and-lebanon
58,true,https://reliefweb.int/report/occupied-palestinian-territory/gazas-children-pay-heaviest-price-hundreds-dead-enar
59,true,https://www.dawn.com/news/1781278
60,true,https://twitter.com/AzmatZahra/status/1713575077256523906
61,true,https://www.nytimes.com/2023/10/14/opinion/israel-gaza-war.html
62,true,http://mailto:zhussain100@yahoo.com
63,true,https://twitter.com/hidhussain
64,true,/trends/gaza-invasion
65,true,/newspaper
66,true,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781742&display=popup&ref=plugin
67,true,https://twitter.com/share?text=Western%20media%20and%20the%20war&url=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781742&counturl=https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781742
68,true,WhatsApp://send?text=Western%20media%20and%20the%20war%20-%20https%3A%2F%2Fwww.dawn.com%2Fnews%2F1781742%3Fref%3Dwhatsapp
69,true,https://www.dawn.com/news/print/1781742
70,true,javascript:void(0)
71,true,#comments
72,true,https://www.dawn.com/news/1781183/revolt-of-the-hopeless
73,true,https://www.dawn.com/news/1781183/revolt-of-the-hopeless
74,true,https://www.dawn.com/news/1781026/looming-massacre
75,true,https://www.dawn.com/news/1781221/when-mediaeval-threats-become-war-crimes-how-israel-is-breaking-international-laws
76,true,https://www.dawn.com/news/1781221/when-mediaeval-threats-become-war-crimes-how-israel-is-breaking-international-laws
77,true,https://www.dawn.com/news/1782361/
78,true,https://www.dawnnews.tv/news/1213620/
79,true,https://www.dawn.com/news/1782355/
80,true,https://www.dawnnews.tv/news/1213937/
81,true,https://www.dawn.com/news/1782116/
82,true,https://www.dawnnews.tv/news/1213721/
83,true,https://www.youtube.com/c/DawnNewsEnglish
84,true,https://www.youtube.com/watch?v=QuCSJSOgrdI
85,true,https://www.youtube.com/watch?v=QuCSJSOgrdI
86,true,https://www.youtube.com/watch?v=d-2BpOMzCQ4
87,true,https://www.youtube.com/watch?v=d-2BpOMzCQ4
88,true,https://www.youtube.com/watch?v=WI7-3K7cQWo
89,true,https://www.youtube.com/watch?v=WI7-3K7cQWo
90,true,https://www.youtube.com/watch?v=bYstq1T8RGk
91,true,https://www.youtube.com/watch?v=bYstq1T8RGk
92,true,https://www.youtube.com/watch?v=sYCrdXhUAvY
93,true,https://www.youtube.com/watch?v=sYCrdXhUAvY
94,true,https://www.youtube.com/watch?v=OFXfQOkjpgw
95,true,https://www.youtube.com/watch?v=OFXfQOkjpgw
96,true,https://www.youtube.com/watch?v=vOODNFuouV0
97,true,https://www.youtube.com/watch?v=vOODNFuouV0
98,true,https://www.youtube.com/watch?v=knNStia7ZbM
99,true,https://www.youtube.com/watch?v=knNStia7ZbM
100,true,/latest-news
101,true,https://www.dawn.com/news/1782395/pti-ally-sheikh-rashid-resurfaces-says-he-was-on-pilgrimage
102,true,https://www.dawn.com/news/1782395/pti-ally-sheikh-rashid-resurfaces-says-he-was-on-pilgrimage
103,true,https://www.dawn.com/news/1782379/4-terrorists-killed-in-intelligence-based-operation-in-kps-lakki-marwat-ispr
104,true,https://www.dawn.com/news/1782379/4-terrorists-killed-in-intelligence-based-operation-in-kps-lakki-marwat-ispr
105,true,https://www.dawn.com/news/1782341/canada-cuts-some-consular-services-in-india-amid-row-over-sikh-leaders-murder
106,true,https://www.dawn.com/news/1782341/canada-cuts-some-consular-services-in-india-amid-row-over-sikh-leaders-murder
107,true,https://www.dawn.com/news/1782335/sc-to-take-up-pleas-challenging-military-trials-of-civilians-on-oct-23
108,true,https://www.dawn.com/news/1782335/sc-to-take-up-pleas-challenging-military-trials-of-civilians-on-oct-23
109,true,https://www.dawn.com/news/1782334/warner-marsh-fireworks-as-australia-outclass-pakistan-by-62-runs
110,true,https://www.dawn.com/news/1782334/warner-marsh-fireworks-as-australia-outclass-pakistan-by-62-runs
111,true,https://www.dawn.com/news/1782323/current-account-deficit-contracts-to-8m-in-sept
112,true,https://www.dawn.com/news/1782323/current-account-deficit-contracts-to-8m-in-sept
113,true,https://images.dawn.com
114,true,https://www.dawn.com/news/1782366/the-internet-schools-american-actor-sarah-silverman-on-the-plight-of-palestinians
115,true,https://images.dawn.com/news/1192068/the-internet-schools-american-actor-sarah-silverman-on-the-plight-of-palestinians
116,true,https://www.dawn.com/news/1782322/mtv-europe-music-awards-cancelled-amid-israel-gaza-crisis
117,true,https://images.dawn.com/news/1192067/mtv-europe-music-awards-cancelled-amid-israel-gaza-crisis
118,true,https://www.dawn.com/news/1782317/going-loco-for-local-pure-desis-traditional-and-gentle-ubtan-is-here-to-change-your-skincare-game
119,true,https://images.dawn.com/news/1192039/going-loco-for-local-pure-desis-traditional-and-gentle-ubtan-is-here-to-change-your-skincare-game
120,true,/popular
121,true,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
122,true,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
123,true,https://www.dawn.com/news/1782249/situationer-indias-garden-city-welcomes-the-world-cup
124,true,https://www.dawn.com/news/1782249/situationer-indias-garden-city-welcomes-the-world-cup
125,true,https://www.dawn.com/news/1782246/canada-pulls-41-diplomats-from-india
126,true,https://www.dawn.com/news/1782246/canada-pulls-41-diplomats-from-india
127,true,https://www.dawn.com/news/1782298/cartoon-20-october-2023
128,true,https://www.dawn.com/news/1782298/cartoon-20-october-2023
129,true,https://www.dawn.com/news/1782121/fakhar-zaman-unavailable-for-world-cup-selection-until-next-week-after-suffering-knee-injury
130,true,https://www.dawn.com/news/1782121/fakhar-zaman-unavailable-for-world-cup-selection-until-next-week-after-suffering-knee-injury
131,true,https://www.dawn.com/news/1782119/in-meeting-with-xi-pm-kakar-hails-pak-china-partnership-as-made-in-heaven
132,true,https://www.dawn.com/news/1782119/in-meeting-with-xi-pm-kakar-hails-pak-china-partnership-as-made-in-heaven
133,true,https://www.dawn.com/news/1782260/sc-suspends-phc-order-granting-blanket-bail-to-pti-leaders
134,true,https://www.dawn.com/news/1782260/sc-suspends-phc-order-granting-blanket-bail-to-pti-leaders
135,true,https://www.dawn.com/news/1782273/us-official-resigns-over-military-aid-to-israel
136,true,https://www.dawn.com/news/1782273/us-official-resigns-over-military-aid-to-israel
137,true,https://www.dawn.com/news/1782112/veteran-lawyer-sm-zafar-passes-away-in-lahore
138,true,https://www.dawn.com/news/1782112/veteran-lawyer-sm-zafar-passes-away-in-lahore
139,true,/must-read
140,true,https://www.dawn.com/news/1782383/israeli-police-crack-down-on-arab-citizens-expressing-solidarity-with-gaza
141,true,https://www.dawn.com/news/1782383/israeli-police-crack-down-on-arab-citizens-expressing-solidarity-with-gaza
142,true,https://www.dawn.com/authors/422/reuters
143,true,https://www.dawn.com/news/1782087/the-ideological-evolution-of-hamas
144,true,https://www.dawn.com/news/1782087/the-ideological-evolution-of-hamas
145,true,https://www.dawn.com/authors/1707/qasim-a-moini
146,true,https://www.dawn.com/news/1782340/rather-be-with-them-gaza-students-in-egypt-fear-worst-for-families
147,true,https://www.dawn.com/news/1782340/rather-be-with-them-gaza-students-in-egypt-fear-worst-for-families
148,true,https://www.dawn.com/authors/119/afp
149,true,https://www.dawn.com/news/1782314/gaza-and-kashmir-have-become-small-scale-models-of-a-hellish-world-in-the-making-for-our-children
150,true,https://www.dawn.com/news/1782289
151,true,https://www.dawn.com/news/1782351/editorial-high-death-toll-of-journalists-covering-gaza-reflects-disdain-for-civilian-lives-particularly-by-israelis
152,true,https://www.dawn.com/news/1782285
153,true,/opinion
154,true,https://www.dawn.com/news/1782290/waste-not-the-crises
155,true,https://www.dawn.com/news/1782290/waste-not-the-crises
156,true,https://www.dawn.com/authors/9300/zafar-mirza
157,true,https://www.dawn.com/news/1782289/ana-dammi-filasteeni
158,true,https://www.dawn.com/news/1782289/ana-dammi-filasteeni
159,true,https://www.dawn.com/authors/3400/ashraf-jehangir-qazi
160,true,https://www.dawn.com/news/1782288/reach-the-masses
161,true,https://www.dawn.com/news/1782288/reach-the-masses
162,true,https://www.dawn.com/authors/975/zubeida-mustafa
163,true,https://www.dawn.com/news/1782287/not-worth-it
164,true,https://www.dawn.com/news/1782287/not-worth-it
165,true,https://www.dawn.com/authors/9945/nazir-a-jogezai
166,true,https://www.dawn.com/news/1782014/accessing-climate-finance
167,true,https://www.dawn.com/news/1782014/accessing-climate-finance
168,true,https://www.dawn.com/authors/4987/ali-tauqeer-sheikh
169,true,/opinion
170,true,https://www.dawn.com/news/1782286/cpecs-potential
171,true,https://www.dawn.com/news/1782286/cpecs-potential
172,true,https://www.dawn.com/news/1782285/media-under-fire
173,true,https://www.dawn.com/news/1782285/media-under-fire
174,true,https://www.dawn.com/news/1782284/unjust-bloodshed
175,true,https://www.dawn.com/news/1782284/unjust-bloodshed
176,true,https://www.dawn.com/news/1782010/israeli-barbarism
177,true,https://www.dawn.com/news/1782010/israeli-barbarism
178,true,https://www.dawn.com/news/1782009/slippery-customer
179,true,https://www.dawn.com/news/1782009/slippery-customer
180,true,https://www.dawn.com/news/1782008/football-hope
181,true,https://www.dawn.com/news/1782008/football-hope
182,true,https://www.dawn.com/news/1782012/abrahams-seed
183,true,https://www.dawn.com/news/1782012/abrahams-seed
184,true,https://www.dawn.com/news/1782012/abrahams-seed
185,true,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
186,true,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
187,true,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
188,true,https://www.dawn.com/
189,true,https://www.compunode.com/
190,true,https://www.dawn.com
191,true,https://twitter.com/dawn_com
192,true,https://www.facebook.com/dawndotcom
193,true,https://www.instagram.com/dawn_dot_com/
194,true,https://itunes.apple.com/pk/app/dawn-official-mobile-app/id935631940
195,true,https://play.google.com/store/apps/details?id=com.mictronicx.dawn
196,true,https://appgallery.huawei.com/#/app/C104007373
197,true,/contact
198,true,/terms
199,true,/reproduction-copyrights
200,true,/contribution-guidelines
201,true,/privacy
202,true,/comments-policy
203,true,/code-of-ethics
204,true,/social-media-guidelines
205,true,/subscription
206,true,/marketing
207,true,/sponsor-content
208,true,https://classifieds.dawn.com
209,true,https://obituary.dawn.com
210,true,/prayers-timings
211,true,/stocks
212,true,/weather
213,true,/
214,true,https://herald.dawn.com
215,true,https://aurora.dawn.com
216,true,/prism
217,true,https://www.dawnnews.tv/
218,true,https://images.dawn.com
219,true,/magazines
220,true,https://cityfm89.com
221,true,https://www.youtube.com/channel/UCkMdI0K-74jAjOmh5J5H97Q
