No.,link
1,https://www.dawn.com/news/1782470/nawaz-comes-out-of-exile-as-things-go-pml-ns-way
2,https://www.dawn.com/news/1782470/nawaz-comes-out-of-exile-as-things-go-pml-ns-way
3,https://www.dawn.com/news/1781717/from-airport-to-minar-i-pakistan-a-bumpy-ride-awaits-nawaz
4,https://www.dawn.com/news/1782178/punjab-admin-on-its-toes-as-nawaz-faces-threat-alerts
5,https://www.dawn.com/news/1782267/crowd-rose-petals-pml-n-gears-up-to-welcome-supremo
6,https://www.dawn.com/news/1781789/as-israeli-air-raids-continue-protesters-around-the-world-rally-in-palestinian-solidarity
7,https://www.dawn.com/news/1782508/blocking-army-chiefs-selection-imrans-biggest-folly-says-sheikh-rashid
8,https://www.dawn.com/news/1782508/blocking-army-chiefs-selection-imrans-biggest-folly-says-sheikh-rashid
9,https://www.dawn.com/news/1782466/pm-returns-from-china-with-more-pacts-under-his-belt
10,https://www.dawn.com/news/1782466/pm-returns-from-china-with-more-pacts-under-his-belt
11,https://www.dawn.com/news/1782521/short-term-inflation-clocks-in-at-354pc
12,https://www.dawn.com/news/1782521/short-term-inflation-clocks-in-at-354pc
13,https://www.dawn.com/news/1782511/ministry-cracks-down-on-daily-allowance-abuses-by-bureaucrats
14,https://www.dawn.com/news/1782511/ministry-cracks-down-on-daily-allowance-abuses-by-bureaucrats
15,https://www.dawn.com/news/1782454/shun-hatred-of-muslims-and-jews-biden-urges-americans
16,https://www.dawn.com/news/1782454/shun-hatred-of-muslims-and-jews-biden-urges-americans
17,https://www.dawn.com/news/1782512/sc-issues-notices-in-bahria-town-karachis-malir-land-case
18,https://www.dawn.com/news/1782512/sc-issues-notices-in-bahria-town-karachis-malir-land-case
19,https://www.dawn.com/news/1782334/warner-marsh-fireworks-as-australia-outclass-pakistan-by-62-runs
20,https://www.dawn.com/news/1782334/warner-marsh-fireworks-as-australia-outclass-pakistan-by-62-runs
21,https://www.dawn.com/news/1782335/sc-to-take-up-pleas-challenging-military-trials-of-civilians-on-oct-23
22,https://www.dawn.com/news/1782335/sc-to-take-up-pleas-challenging-military-trials-of-civilians-on-oct-23
23,https://www.dawn.com/news/1782464/the-most-deaths-palestine-has-ever-witnessed
24,https://www.dawn.com/news/1782464/the-most-deaths-palestine-has-ever-witnessed
25,https://www.dawn.com/news/1782556/editorial-it-is-most-unfortunate-to-see-nawaz-sharif-standing-on-the-wrong-side-of-history-once-again
26,https://www.dawn.com/news/1782530
27,https://www.dawn.com/news/1782557/in-these-polarising-times-the-cjp-should-be-a-uniting-force-for-the-judiciary
28,https://www.dawn.com/news/1782536
29,https://www.dawn.com/news/1779291/the-cases-welcoming-pml-n-chief-nawaz-sharif-on-his-return-after-4-year-self-exile
30,https://www.dawn.com/news/1779291/the-cases-welcoming-pml-n-chief-nawaz-sharif-on-his-return-after-4-year-self-exile
31,https://www.dawn.com/news/1782551/is-big-brother-ready-to-bury-the-hatchet
